decision_key,decision_status,resolved_policy_item_id,applied_status,applied_primary_strategy_id,applied_secondary_strategy_ids,reviewer_name,reviewer_notes
SRD-POL-001-a9472eebaadc,no_strategy,ITM-POL-001-00967,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-d48565b48825,no_strategy,ITM-POL-001-00968,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-1aff149b341a,no_strategy,ITM-POL-001-00969,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-7ec0efd3c2e1,no_strategy,ITM-POL-001-00970,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-4c0676ba42c8,no_strategy,ITM-POL-001-00971,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-fd881b813b2a,no_strategy,ITM-POL-001-00973,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-0331177d7186,no_strategy,ITM-POL-001-00974,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-7f530a5fa884,no_strategy,ITM-POL-001-00975,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-b9ae740f1df0,no_strategy,ITM-POL-001-00977,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-54c937a93d04,no_strategy,ITM-POL-001-00978,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-a427be685d9f,no_strategy,ITM-POL-001-00980,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-0b4b88e4528d,no_strategy,ITM-POL-001-00981,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-55befeb2c572,no_strategy,ITM-POL-001-00986,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-7e733bf17837,no_strategy,ITM-POL-001-00987,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-1a515b7757fe,no_strategy,ITM-POL-001-00989,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-42049b62dd26,no_strategy,ITM-POL-001-00990,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-139670f4e592,no_strategy,ITM-POL-001-00991,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-5b01e9abaf89,no_strategy,ITM-POL-001-00992,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-6107f93aa084,no_strategy,ITM-POL-001-00994,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-54308432f1fd,no_strategy,ITM-POL-001-00996,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-7aeb183f2446,no_strategy,ITM-POL-001-00997,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-0ffa9dbc40f1,no_strategy,ITM-POL-001-00998,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
SRD-POL-001-36e57774c03b,no_strategy,ITM-POL-001-00999,applied,NO_STRATEGY,,auto_seed,provisional_auto_seed_no_strategy(no_queue_suggestion)
